param_num_leaves	param_learning_rate	param_n_estimators	param_boosting_type	mean_test_score
61	0.001	1000	dart	-3.102084648296832
51	0.001	1000	dart	-3.0996555939545685
31	0.001	1000	dart	-3.0986376973294836
41	0.001	1000	dart	-3.098491141855674
21	0.001	1000	dart	-3.094141821879346
61	0.01	1000	dart	-0.9210913206600952
51	0.01	1000	dart	-0.917405254915663
41	0.01	1000	dart	-0.9108271556523786
31	0.01	1000	dart	-0.9073639333378354
21	0.01	1000	dart	-0.9006911950450819
21	0.001	1000	gbdt	-0.891754200613606
61	0.001	1000	gbdt	-0.8864707211855872
51	0.001	1000	gbdt	-0.8857991328952348
31	0.001	1000	gbdt	-0.8854219913854401
41	0.001	1000	gbdt	-0.8844390430172548
41	0.5	1000	gbdt	-0.8020212596096673
61	0.01	1000	gbdt	-0.7901334663540373
31	0.5	1000	gbdt	-0.7900514665015732
61	0.1	1000	gbdt	-0.7895343075095296
51	0.01	1000	gbdt	-0.788657337332352
61	0.1	1000	dart	-0.787239291600509
51	0.1	1000	gbdt	-0.7858356195425372
61	0.5	1000	gbdt	-0.7847761210801231
51	0.5	1000	gbdt	-0.7829896762242214
41	0.1	1000	gbdt	-0.78119393835259
61	0.5	1000	dart	-0.7808023280315372
51	0.1	1000	dart	-0.7807227585320419
41	0.01	1000	gbdt	-0.7770886659223398
51	0.5	1000	dart	-0.7741432894448401
41	0.1	1000	dart	-0.7727314702114129
31	0.1	1000	gbdt	-0.7706109952696115
41	0.5	1000	dart	-0.7701884839025975
31	0.01	1000	gbdt	-0.7699307267732701
31	0.5	1000	dart	-0.7651483329753714
31	0.1	1000	dart	-0.7649555886690788
21	0.5	1000	gbdt	-0.7619525610973106
21	0.01	1000	gbdt	-0.7584047651306512
21	0.1	1000	gbdt	-0.7567420347053609
21	0.5	1000	dart	-0.7534829447896574
21	0.1	1000	dart	-0.7514267798957236
